id,cust_id,order_date,order_details,total_order_cost
1,3,3/4/19,Coat,100
2,3,3/1/19,Shoes,80
3,3,3/7/19,Skirt,30
4,7,2/1/19,Coat,25
5,7,3/10/19,Shoes,80
6,15,2/1/19,Boats,100
7,15,1/11/19,Shirts,60
8,15,3/11/19,Slipper,20
9,15,3/1/19,Jeans,80
10,15,3/9/19,Shirts,50
11,5,2/1/19,Shoes,80
12,12,1/11/19,Shirts,60
13,12,3/11/19,Slipper,20
14,4,2/1/19,Shoes,80
15,4,1/11/19,Shirts,60
16,3,4/19/19,Shirts,50
17,7,4/19/19,Suit,150
18,15,4/19/19,Skirt,30
19,15,4/20/19,Dresses,200
20,12,1/11/19,Coat,125
21,7,4/1/19,Suit,50
22,7,4/2/19,Skirt,30
23,7,4/3/19,Dresses,50
24,7,4/4/19,Coat,25
25,7,4/19/19,Coat,125
