id,user_id,item,created_at,revenue
1,109,milk,3/3/20,123
2,139,biscuit,3/18/20,421
3,120,milk,3/18/20,176
4,108,banana,3/18/20,862
5,130,milk,3/28/20,333
6,103,bread,3/29/20,862
7,122,banana,3/7/20,952
8,125,bread,3/13/20,317
9,139,bread,3/30/20,929
10,141,banana,3/17/20,812
11,116,bread,3/31/20,226
12,128,bread,3/4/20,112
13,146,biscuit,3/4/20,362
14,119,banana,3/28/20,127
15,142,bread,3/9/20,503
16,122,bread,3/6/20,593
17,128,biscuit,3/24/20,160
18,112,banana,3/24/20,262
19,149,banana,3/29/20,382
20,100,banana,3/18/20,599
21,130,milk,3/16/20,604
22,103,milk,3/31/20,290
23,112,banana,3/23/20,523
24,102,bread,3/25/20,325
25,120,biscuit,3/21/20,858
26,109,bread,3/22/20,432
27,101,milk,3/1/20,449
28,138,milk,3/19/20,961
29,100,milk,3/29/20,410
30,129,milk,3/2/20,771
31,123,milk,3/31/20,434
32,104,biscuit,3/31/20,957
33,110,bread,3/13/20,210
34,143,bread,3/27/20,870
35,130,milk,3/12/20,176
36,128,milk,3/28/20,498
37,133,banana,3/21/20,837
38,150,banana,3/20/20,927
39,120,milk,3/27/20,793
40,109,bread,3/2/20,362
41,110,bread,3/13/20,262
42,140,milk,3/9/20,468
43,112,banana,3/4/20,381
44,117,biscuit,3/19/20,831
45,137,banana,3/23/20,490
46,130,bread,3/9/20,149
47,133,bread,3/8/20,658
48,143,milk,3/11/20,317
49,111,biscuit,3/23/20,204
50,150,banana,3/4/20,299
51,131,bread,3/10/20,155
52,140,biscuit,3/17/20,810
53,147,banana,3/22/20,702
54,119,biscuit,3/15/20,355
55,116,milk,3/12/20,468
56,141,milk,3/14/20,254
57,143,bread,3/16/20,647
58,105,bread,3/21/20,562
59,149,biscuit,3/11/20,827
60,117,banana,3/22/20,249
61,150,banana,3/21/20,450
62,134,bread,3/8/20,981
63,133,banana,3/26/20,353
64,127,milk,3/27/20,300
65,101,milk,3/26/20,740
66,137,biscuit,3/12/20,473
67,113,biscuit,3/21/20,278
68,141,bread,3/21/20,118
69,112,biscuit,3/14/20,334
70,118,milk,3/30/20,603
71,111,milk,3/19/20,205
72,146,biscuit,3/13/20,599
73,148,banana,3/14/20,530
74,100,banana,3/13/20,175
75,105,banana,3/5/20,815
76,129,milk,3/2/20,489
77,121,milk,3/16/20,476
78,117,bread,3/11/20,270
79,133,milk,3/12/20,446
80,124,bread,3/31/20,937
81,145,bread,3/7/20,821
82,105,banana,3/9/20,972
83,131,milk,3/9/20,808
84,114,biscuit,3/31/20,202
85,120,milk,3/6/20,898
86,130,milk,3/6/20,581
87,141,biscuit,3/11/20,749
88,147,bread,3/14/20,262
89,118,milk,3/15/20,735
90,136,biscuit,3/22/20,410
91,132,bread,3/6/20,161
92,137,biscuit,3/31/20,427
93,107,bread,3/1/20,701
94,111,biscuit,3/18/20,218
95,100,bread,3/7/20,410
96,106,milk,3/21/20,379
97,114,banana,3/25/20,705
98,110,bread,3/27/20,225
99,130,milk,3/16/20,494
100,117,bread,3/10/20,209
