year,category,nominee,movie,winner,id
2010,actor in a leading role,James Franco,127 Hours,FALSE,648
2003,actor in a supporting role,Benicio Del Toro,21 Grams,FALSE,139
2003,actress in a leading role,Naomi Watts,21 Grams,FALSE,1119
2001,actress in a supporting role,Jennifer Connelly,A Beautiful Mind,TRUE,710
2001,actor in a leading role,Russell Crowe,A Beautiful Mind,FALSE,1315
2011,actor in a leading role,Demiðn Bichir,A Better Life,FALSE,306
2005,actor in a supporting role,William Hurt,A History of Violence,FALSE,1532
2009,actor in a leading role,Colin Firth,A Single Man,FALSE,272
2002,actor in a leading role,Jack Nicholson,About Schmidt,FALSE,624
2002,actress in a supporting role,Kathy Bates,About Schmidt,FALSE,871
2002,actor in a supporting role,Chris Cooper,Adaptation,TRUE,243
2002,actress in a supporting role,Meryl Streep,Adaptation,FALSE,1062
2002,actor in a leading role,Nicolas Cage,Adaptation,FALSE,1132
2011,actress in a leading role,Glenn Close,Albert Nobbs,FALSE,511
2011,actress in a supporting role,Janet McTeer,Albert Nobbs,FALSE,686
2001,actor in a supporting role,Jon Voight,Ali,FALSE,798
2001,actor in a leading role,Will Smith,Ali,FALSE,1517
2000,actress in a supporting role,Frances McDormand,Almost Famous,FALSE,429
2000,actress in a supporting role,Kate Hudson,Almost Famous,FALSE,848
2007,actress in a supporting role,Ruby Dee,American Gangster,FALSE,1310
2012,actress in a leading role,Emmanuelle Riva,Amour,FALSE,401
2009,actress in a leading role,Carey Mulligan,An Education,FALSE,192
2010,actress in a supporting role,Jacki Weaver,Animal Kingdom,FALSE,632
2012,actor in a supporting role,Alan Arkin,Argo,FALSE,23
2007,actress in a supporting role,Saoirse Ronan,Atonement,FALSE,1338
2007,actress in a leading role,Julie Christie,Away from Her,FALSE,837
2006,actress in a supporting role,Adriana Barraza,Babel,FALSE,3
2006,actress in a supporting role,Rinko Kikuchi,Babel,FALSE,1253
2012,actress in a leading role,Quvenzhan_ Wallis,Beasts of the Southern Wild,FALSE,1216
2000,actor in a leading role,Javier Bardem,Before Night Falls,FALSE,692
2011,actor in a supporting role,Christopher Plummer,Beginners,TRUE,250
2004,actress in a leading role,Annette Bening,Being Julia,FALSE,86
2000,actress in a supporting role,Julie Walters,Billy Elliot,FALSE,840
2010,actor in a leading role,Javier Bardem,Biutiful,FALSE,694
2010,actress in a leading role,Natalie Portman,Black Swan,TRUE,1122
2006,actor in a supporting role,Djimon Hounsou,Blood Diamond,FALSE,333
2006,actor in a leading role,Leonardo DiCaprio,Blood Diamond,FALSE,927
2010,actress in a leading role,Michelle Williams,Blue Valentine,FALSE,1087
2011,actress in a supporting role,Melissa McCarthy,Bridesmaids,FALSE,1043
2001,actress in a leading role,Ren_e Zellweger,Bridget Jones's Diary,FALSE,1230
2005,actor in a leading role,Heath Ledger,Brokeback Mountain,FALSE,550
2005,actor in a supporting role,Jake Gyllenhaal,Brokeback Mountain,FALSE,636
2005,actress in a supporting role,Michelle Williams,Brokeback Mountain,FALSE,1086
2005,actress in a supporting role,Catherine Keener,Capote,FALSE,211
2005,actor in a leading role,Philip Seymour Hoffman,Capote,TRUE,1207
2000,actor in a leading role,Tom Hanks,Cast Away,FALSE,1457
2002,actor in a supporting role,Christopher Walken,Catch Me If You Can,FALSE,252
2008,actress in a leading role,Angelina Jolie,Changeling,FALSE,57
2007,actor in a supporting role,Philip Seymour Hoffman,Charlie Wilson's War,FALSE,1208
2002,actress in a supporting role,Catherine Zeta-Jones,Chicago,TRUE,212
2002,actor in a supporting role,John C. Reilly,Chicago,FALSE,769
2002,actress in a supporting role,Queen Latifah,Chicago,FALSE,1214
2002,actress in a leading role,Ren_e Zellweger,Chicago,FALSE,1231
2000,actress in a supporting role,Judi Dench,Chocolat,FALSE,814
2000,actress in a leading role,Juliette Binoche,Chocolat,FALSE,842
2005,actor in a supporting role,Paul Giamatti,Cinderella Man,FALSE,1160
2004,actor in a supporting role,Clive Owen,Closer,FALSE,269
2004,actress in a supporting role,Natalie Portman,Closer,FALSE,1121
2003,actor in a leading role,Jude Law,Cold Mountain,FALSE,811
2003,actress in a supporting role,Ren_e Zellweger,Cold Mountain,TRUE,1232
2004,actor in a supporting role,Jamie Foxx,Collateral,FALSE,665
2005,actor in a supporting role,Matt Dillon,Crash,FALSE,1026
2009,actor in a leading role,Jeff Bridges,Crazy Heart,TRUE,707
2009,actress in a supporting role,Maggie Gyllenhaal,Crazy Heart,FALSE,961
2012,actor in a supporting role,Christoph Waltz,Django Unchained,TRUE,248
2008,actress in a supporting role,Amy Adams,Doubt,FALSE,44
2008,actress in a leading role,Meryl Streep,Doubt,FALSE,1064
2008,actor in a supporting role,Philip Seymour Hoffman,Doubt,FALSE,1209
2008,actress in a supporting role,Viola Davis,Doubt,FALSE,1488
2006,actor in a supporting role,Eddie Murphy,Dreamgirls,FALSE,361
2006,actress in a supporting role,Jennifer Hudson,Dreamgirls,TRUE,711
2007,actor in a leading role,Viggo Mortensen,Eastern Promises,FALSE,1485
2007,actress in a leading role,Cate Blanchett,Elizabeth: The Golden Age,FALSE,206
2000,actor in a supporting role,Albert Finney,Erin Brockovich,FALSE,31
2000,actress in a leading role,Julia Roberts,Erin Brockovich,TRUE,826
2004,actress in a leading role,Kate Winslet,Eternal Sunshine of the Spotless Mind,FALSE,853
2011,actor in a supporting role,Max von Sydow,Extremely Loud & Incredibly Close,FALSE,1032
2002,actress in a leading role,Julianne Moore,Far from Heaven,FALSE,829
2004,actor in a leading role,Johnny Depp,Finding Neverland,FALSE,793
2012,actor in a leading role,Denzel Washington,Flight,FALSE,314
2002,actress in a leading role,Salma Hayek,Frida,FALSE,1328
2008,actor in a leading role,Frank Langella,Frost/Nixon,FALSE,432
2008,actress in a leading role,Melissa Leo,Frozen River,FALSE,1041
2002,actor in a leading role,Daniel Day-Lewis,Gangs of New York,FALSE,286
2000,actor in a supporting role,Joaquin Phoenix,Gladiator,FALSE,757
2000,actor in a leading role,Russell Crowe,Gladiator,TRUE,1314
2007,actress in a supporting role,Amy Ryan,Gone Baby Gone,FALSE,49
2005,actor in a leading role,David Strathairn,"Good Night, and Good Luck.",FALSE,293
2001,actress in a supporting role,Helen Mirren,Gosford Park,FALSE,556
2001,actress in a supporting role,Maggie Smith,Gosford Park,FALSE,968
2006,actor in a leading role,Ryan Gosling,Half Nelson,FALSE,1319
2004,actor in a leading role,Don Cheadle,Hotel Rwanda,FALSE,335
2004,actress in a supporting role,Sophie Okonedo,Hotel Rwanda,FALSE,1381
2003,actor in a leading role,Ben Kingsley,House of Sand and Fog,FALSE,137
2003,actress in a supporting role,Shohreh Aghdashloo,House of Sand and Fog,FALSE,1363
2005,actor in a leading role,Terrence Howard,Hustle & Flow,FALSE,1428
2001,actor in a leading role,Sean Penn,I Am Sam,FALSE,1344
2007,actress in a supporting role,Cate Blanchett,I'm Not There,FALSE,207
2003,actor in a supporting role,Djimon Hounsou,In America,FALSE,332
2003,actress in a leading role,Samantha Morton,In America,FALSE,1334
2001,actress in a supporting role,Marisa Tomei,In the Bedroom,FALSE,989
2001,actress in a leading role,Sissy Spacek,In the Bedroom,FALSE,1377
2001,actor in a leading role,Tom Wilkinson,In the Bedroom,FALSE,1460
2007,actor in a leading role,Tommy Lee Jones,In the Valley of Elah,FALSE,1464
2009,actor in a supporting role,Christoph Waltz,Inglourious Basterds,TRUE,247
2007,actor in a supporting role,Hal Holbrook,Into the Wild,FALSE,542
2009,actor in a supporting role,Matt Damon,Invictus,FALSE,1025
2009,actor in a leading role,Morgan Freeman,Invictus,FALSE,1116
2001,actor in a supporting role,Jim Broadbent,Iris,TRUE,736
2001,actress in a leading role,Judi Dench,Iris,FALSE,815
2001,actress in a supporting role,Kate Winslet,Iris,FALSE,852
2009,actress in a leading role,Meryl Streep,Julie & Julia,FALSE,1065
2005,actress in a supporting role,Amy Adams,Junebug,FALSE,43
2007,actress in a leading role,Ellen Page,Juno,FALSE,391
2004,actress in a supporting role,Laura Linney,Kinsey,FALSE,898
2007,actress in a leading role,Marion Cotillard,La Vie en Rose,TRUE,986
2012,actress in a supporting role,Anne Hathaway,Les Mis_rables,TRUE,78
2012,actor in a leading role,Hugh Jackman,Les Mis_rables,FALSE,576
2012,actor in a leading role,Daniel Day-Lewis,Lincoln,TRUE,288
2012,actress in a supporting role,Sally Field,Lincoln,FALSE,1325
2012,actor in a supporting role,Tommy Lee Jones,Lincoln,FALSE,1465
2006,actor in a supporting role,Jackie Earle Haley,Little Children,FALSE,634
2006,actress in a leading role,Kate Winslet,Little Children,FALSE,854
2006,actress in a supporting role,Abigail Breslin,Little Miss Sunshine,FALSE,1
2006,actor in a supporting role,Alan Arkin,Little Miss Sunshine,TRUE,22
2003,actor in a leading role,Bill Murray,Lost in Translation,FALSE,155
2004,actress in a leading role,Catalina Sandino Moreno,Maria Full of Grace,FALSE,202
2007,actor in a leading role,George Clooney,Michael Clayton,FALSE,477
2007,actress in a supporting role,Tilda Swinton,Michael Clayton,TRUE,1442
2007,actor in a supporting role,Tom Wilkinson,Michael Clayton,FALSE,1461
2008,actor in a supporting role,Josh Brolin,Milk,FALSE,805
2008,actor in a leading role,Sean Penn,Milk,TRUE,1346
2004,actor in a leading role,Clint Eastwood,Million Dollar Baby,FALSE,268
2004,actress in a leading role,Hilary Swank,Million Dollar Baby,TRUE,566
2004,actor in a supporting role,Morgan Freeman,Million Dollar Baby,TRUE,1115
2011,actor in a leading role,Brad Pitt,Moneyball,FALSE,168
2011,actor in a supporting role,Jonah Hill,Moneyball,FALSE,799
2003,actress in a leading role,Charlize Theron,Monster,TRUE,234
2001,actress in a leading role,Halle Berry,Monster's Ball,TRUE,544
2001,actress in a leading role,Nicole Kidman,Moulin Rouge,FALSE,1133
2005,actress in a leading role,Judi Dench,Mrs. Henderson Presents,FALSE,816
2011,actor in a supporting role,Kenneth Branagh,My Week with Marilyn,FALSE,879
2011,actress in a leading role,Michelle Williams,My Week with Marilyn,FALSE,1088
2003,actress in a supporting role,Marcia Gay Harden,Mystic River,FALSE,974
2003,actor in a leading role,Sean Penn,Mystic River,TRUE,1345
2003,actor in a supporting role,Tim Robbins,Mystic River,TRUE,1443
2009,actress in a supporting role,Pen_lope Cruz,Nine,FALSE,1185
2007,actor in a supporting role,Javier Bardem,No Country for Old Men,TRUE,693
2005,actress in a leading role,Charlize Theron,North Country,FALSE,235
2005,actress in a supporting role,Frances McDormand,North Country,FALSE,430
2006,actress in a supporting role,Cate Blanchett,Notes on a Scandal,FALSE,205
2006,actress in a leading role,Judi Dench,Notes on a Scandal,FALSE,817
2003,actress in a supporting role,Patricia Clarkson,Pieces of April,FALSE,1154
2003,actor in a leading role,Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl,FALSE,792
2000,actor in a leading role,Ed Harris,Pollock,FALSE,356
2000,actress in a supporting role,Marcia Gay Harden,Pollock,TRUE,973
2009,actress in a leading role,Gabourey Sidibe,Precious: Based on the Novel 'Push' by Sapphire,FALSE,441
2009,actress in a supporting role,Mo'Nique,Precious: Based on the Novel 'Push' by Sapphire,TRUE,1105
2005,actress in a leading role,Keira Knightley,Pride & Prejudice,FALSE,875
2000,actor in a leading role,Geoffrey Rush,Quills,FALSE,468
2010,actress in a leading role,Nicole Kidman,Rabbit Hole,FALSE,1135
2008,actress in a leading role,Anne Hathaway,Rachel Getting Married,FALSE,77
2004,actor in a leading role,Jamie Foxx,Ray,TRUE,664
2000,actress in a leading role,Ellen Burstyn,Requiem for a Dream,FALSE,389
2008,actor in a supporting role,Michael Shannon,Revolutionary Road,FALSE,1081
2002,actor in a supporting role,Paul Newman,Road to Perdition,FALSE,1173
2001,actor in a supporting role,Ben Kingsley,Sexy Beast,FALSE,136
2000,actor in a supporting role,Willem Dafoe,Shadow of the Vampire,FALSE,1520
2004,actor in a supporting role,Thomas Haden Church,Sideways,FALSE,1439
2004,actress in a supporting role,Virginia Madsen,Sideways,FALSE,1490
2012,actor in a leading role,Bradley Cooper,Silver Linings Playbook,FALSE,169
2012,actress in a supporting role,Jacki Weaver,Silver Linings Playbook,FALSE,633
2012,actress in a leading role,Jennifer Lawrence,Silver Linings Playbook,TRUE,718
2012,actor in a supporting role,Robert De Niro,Silver Linings Playbook,FALSE,1263
2003,actress in a leading role,Diane Keaton,Something's Gotta Give,FALSE,323
2007,actor in a leading role,Johnny Depp,Sweeney Todd The Demon Barber of Fleet Street,FALSE,794
2005,actor in a supporting role,George Clooney,Syriana,TRUE,476
2011,actress in a supporting role,B_r_nice Bejo,The Artist,FALSE,140
2011,actor in a leading role,Jean Dujardin,The Artist,TRUE,697
2007,actor in a supporting role,Casey Affleck,The Assassination of Jesse James by the Coward Robert Ford,FALSE,201
2004,actor in a supporting role,Alan Alda,The Aviator,FALSE,19
2004,actress in a supporting role,Cate Blanchett,The Aviator,TRUE,204
2004,actor in a leading role,Leonardo DiCaprio,The Aviator,FALSE,926
2009,actress in a leading role,Sandra Bullock,The Blind Side,TRUE,1336
2005,actress in a supporting role,Rachel Weisz,The Constant Gardener,TRUE,1219
2000,actor in a supporting role,Jeff Bridges,The Contender,FALSE,706
2000,actress in a leading role,Joan Allen,The Contender,FALSE,740
2003,actor in a supporting role,Alec Baldwin,The Cooler,FALSE,32
2008,actor in a leading role,Brad Pitt,The Curious Case of Benjamin Button,FALSE,167
2008,actress in a supporting role,Taraji P. Henson,The Curious Case of Benjamin Button,FALSE,1420
2008,actor in a supporting role,Heath Ledger,The Dark Knight,TRUE,551
2006,actor in a supporting role,Mark Wahlberg,The Departed,FALSE,995
2011,actor in a leading role,George Clooney,The Descendants,FALSE,479
2006,actress in a leading role,Meryl Streep,The Devil Wears Prada,FALSE,1063
2010,actress in a supporting role,Amy Adams,The Fighter,FALSE,45
2010,actor in a supporting role,Christian Bale,The Fighter,TRUE,245
2010,actress in a supporting role,Melissa Leo,The Fighter,TRUE,1042
2011,actress in a leading role,Rooney Mara,The Girl with the Dragon Tattoo,FALSE,1301
2011,actress in a supporting role,Jessica Chastain,The Help,FALSE,724
2011,actress in a supporting role,Octavia Spencer,The Help,TRUE,1142
2011,actress in a leading role,Viola Davis,The Help,FALSE,1489
2002,actor in a supporting role,Ed Harris,The Hours,FALSE,357
2002,actress in a supporting role,Julianne Moore,The Hours,FALSE,830
2002,actress in a leading role,Nicole Kidman,The Hours,TRUE,1134
2009,actor in a leading role,Jeremy Renner,The Hurt Locker,FALSE,721
2012,actress in a leading role,Naomi Watts,The Impossible,FALSE,1120
2011,actress in a leading role,Meryl Streep,The Iron Lady,TRUE,1066
2010,actress in a leading role,Annette Bening,The Kids Are All Right,FALSE,87
2010,actor in a supporting role,Mark Ruffalo,The Kids Are All Right,FALSE,994
2010,actor in a leading role,Colin Firth,The King's Speech,TRUE,273
2010,actor in a supporting role,Geoffrey Rush,The King's Speech,FALSE,469
2010,actress in a supporting role,Helena Bonham Carter,The King's Speech,FALSE,560
2006,actor in a leading role,Forest Whitaker,The Last King of Scotland,TRUE,426
2003,actor in a supporting role,Ken Watanabe,The Last Samurai,FALSE,877
2009,actor in a supporting role,Christopher Plummer,The Last Station,FALSE,249
2009,actress in a leading role,Helen Mirren,The Last Station,FALSE,558
2001,actor in a supporting role,Ian McKellen,The Lord of the Rings: The Fellowship of the Ring,FALSE,584
2009,actor in a supporting role,Stanley Tucci,The Lovely Bones,FALSE,1393
2012,actress in a supporting role,Amy Adams,The Master,FALSE,46
2012,actor in a leading role,Joaquin Phoenix,The Master,FALSE,759
2012,actor in a supporting role,Philip Seymour Hoffman,The Master,FALSE,1210
