Sum of Value,Column Labels,,,,,
Row Labels,Angola,Chad,Mali,Niger,Uganda,Grand Total
1960,5270844,3002596,5263730,3395212,6788211,23720593
1961,5367287,3061423,5322267,3493636,7006629,24251242
1962,5465905,3122357,5381369,3596613,7240155,24806399
1963,5565808,3184775,5441611,3703159,7487411,25382764
1964,5665701,3247798,5503748,3811813,7746181,25975241
1965,5765025,3310921,5568485,3921581,8014376,26580388
1966,5863568,3373563,5635859,4032210,8292747,27197947
1967,5962831,3436227,5706198,4144238,8580632,27830126
1968,6066094,3500778,5780834,4258415,8872866,28478987
1969,6177703,3569778,5861411,4375837,9162773,29147502
1970,6300969,3644911,5949043,4497355,9446024,29838302
1971,6437645,3727382,6044532,4623121,9720365,30553045
1972,6587647,3816299,6147459,4753054,9988321,31292780
1973,6750215,3908729,6256192,4887484,10256342,32058962
1974,6923749,4000511,6368351,5026744,10533627,32852982
1975,7107334,4088858,6482276,5171029,10827071,33676568
1976,7299508,4173070,6596817,5320869,11139772,34530036
1977,7501320,4254770,6712545,5476206,11470741,35415582
1978,7717139,4336389,6831530,5635954,11817951,36338963
1979,7952882,4421448,6956779,5798584,12177677,37307370
1980,8211950,4512795,7090125,5963159,12547754,38325783
1981,8497950,4610964,7233877,6129762,12927007,39399560
1982,8807511,4716073,7386669,6299343,13318149,40527745
1983,9128655,4830055,7542377,6472971,13727427,41701485
1984,9444918,4955088,7692537,6652110,14163214,42907867
1985,9745209,5092650,7831891,6838170,14631089,44139009
1986,10023700,5244158,7957390,7031675,15133740,45390663
1987,10285712,5409275,8073178,7233482,15668278,46669925
1988,10544904,5585528,8189984,7445788,16227778,47993982
1989,10820992,5769273,8322726,7671233,16802258,49386482
1990,11127870,5958022,8482075,7911884,17384369,50864220
1991,11472173,6151213,8672581,8168834,17973428,52438229
1992,11848971,6350174,8891141,8442330,18571527,54104143
1993,12246786,6556628,9131449,8732500,19177660,55845023
1994,12648483,6773104,9383608,9039088,19791266,57635549
1995,13042666,7001634,9640643,9361912,20412967,59459822
1996,13424813,7242018,9901045,9701730,21041468,61311074
1997,13801868,7494143,10168000,10058960,21679497,63202468
1998,14187710,7760157,10444822,10432657,22336812,65162158
1999,14601983,8042713,10736542,10821434,23026357,67229029
2000,15058638,8343321,11046926,11224523,23757636,69431044
2001,15562791,8663599,11376094,11642308,24534668,71779460
2002,16109696,9002102,11723017,12075991,25355794,74266600
2003,16691395,9353516,12088867,12526725,26217760,76878263
2004,17295500,9710498,12474857,12996012,27114742,79591609
2005,17912942,10067932,12881384,13485436,28042413,82390107
2006,18541467,10423616,13309942,13995530,29000925,85271480
2007,19183907,10779504,13759226,14527631,29991958,88242226
2008,19842251,11139740,14223403,15085130,31014427,91304951
2009,20520103,11510535,14694565,15672194,32067125,94464522
2010,21219954,11896380,15167286,16291990,33149417,97725027
2011,21942296,12298512,15639115,16946485,34260342,101086750
2012,22685632,12715465,16112333,17635782,35400620,104549832
2013,23448202,13145788,16592097,18358863,36573387,108118337
2014,24227524,13587053,17086022,19113728,37782971,111797298
Grand Total,641906296,355875809,500758830,471910464,987376102,2957827501
