business_name,review_id,user_id,stars,review_date,review_text,funny,useful,cool
AutohausAZ,C4TSIEcazRay0qIRPeMAFg,jlbPUcCRiXlMtarzi9sW5w,5,6/27/11,Autohaus is my main source for parts for an old Mercedes that has been in the family since new that I am restoring. The old beater is truly a labor of,1,2,1
Citizen Public House,ZZ0paqUsSX-VJbfodTp1cQ,EeCWSGwMAPzwe_c1Aumd1w,4,3/18/13,"First time in PHX. Friend recommended. Friendly waitstaff. They were understaffed and extremely busy, but we never knew. The short ribs were tende",0,0,0
Otto Pizza & Pastry,pF6W5JOPBK6kOXTB58cYrw,JG1Gd2mN2Qk7UpCqAUI-BQ,5,3/14/13,LOVE THIS PIZZA! This is now one of my favorite pizza places in phoenix area. My husband i walked into this cute family owned business and were greet,0,0,0
Giant Hamburgers,QBddRcflAcXwE2qhsLVv7w,T90ybanuLhAr0_s99GDeeg,3,3/27/09,"ok, so I tried this place out based on other reviews. I had the cheeseburger with everything, some fries, and a chocolate shake. The burger was okay,",0,1,1
Tammie Coe Cakes,Y8UMm_Ng9oEpJbIygoGbZQ,MWt24-6bfv_OHLKhwMQ0Tw,3,8/25/08,Overrated. The treats are tasty but certainly not the best I have ever had. I would have rated this a two star but the cakes and cookies are REALLY pr,1,3,2
Marcellino Ristorante,GTUOIBCEGGt_aGp-bRogfg,gopGuEb-ft6cHKMyCZEvJg,1,12/17/10,This place sucks. Food was average and we had to wait an hour even though we had a reservation. My americano tasted like warm soy sauce and they blame,2,3,0
Shanghai Club,wHfxd0Bq4JYLiUEO55xe4Q,eVQ_yDkMlF62oofUwc29Kw,5,9/19/13,This is our favorite Chinese restaurant in the area! The service is always consistent and our favorite waitress - Becky - always makes time to spend w,0,0,0
Freddys Frozen Custard & Steakburgers,NfTR_B1yW1hPVEoXlSJV-w,YnHYlN1m7jDhAH9XgR4Dlg,4,1/24/13,Love the tiny fries.,1,0,0
Chipotle Mexican Grill,k-Oo0Gs4AC04GJAecu_iWg,HjpzhIQFRQbFmc_7CtFDmg,4,5/11/11,"When you don't feel like a full restaurant and you want more than the normal Mexican fast food, Chipolte fits the bill. The food is always fresh, the",0,0,0
Arizona Fire & Water Restoration,uvVmBnYQf8Mnt-s64D8XOg,zQP7cLujr-MJ207uuNFC1w,5,8/3/11,This is a fantastic company. They have a very high rating with BBB and have won a ton of customer service awards. Hopefully you dont need them but i,0,0,0
Arriba Mexican Grill,0HOrc_RX87-01dbdFMSjJw,8m8HQtZox4vS-N-AW3mzxw,5,12/31/13,"Open Christmas Day! Their food is delicious. Especially breakfast! Mmmm, the salsa mmmmm. Hatch chills, pork, chicken...pollo asada, carne asada...you",1,1,0
Renegade Tap & Kitchen,ZaCA3v9bWUpHuwZ6NO8C1Q,iVTzpbZ6qBdFllvcJLbmeg,4,2/26/11,"Dinner on a busy Friday night. Arrived on time for 7:30 reservation. Table not ready, restaurant and bar full. Host and hostess pleasant, but not o",0,0,1
Chipotle,_gcGIGfziNkhaIlkjhjKHg,3uU_6L8GnFOHTsO4I3oedg,3,9/24/13,"I absolutely looove Chipotle. My problem is when you make me pay almost $2 extra for guacamole... please don't be stingy with it. Hook it up, Chipotl",1,2,1
SanTan Village,LXiDBkXxcyL4IPnXbjw0VQ,Ba-tIR3a8hhwIk-y_hVzFg,4,3/27/11,"Next month when the temps skyrocket to triple digits, i will prolly not think soo highly of this place, but for now, San Tan has gotten alot of my fre",0,1,2
Love's,Er4Y-yj1JBW9cCbIf3ViKg,bC3By-saT9ylKu-dwWgtcw,4,11/13/12,"Plenty of gas pumps and convenient to get some cooked food inside. If getting gas, caution for enter and exits at pumps.",0,0,0
Dirty Drummer,tMYUWXoFuLdFecqqP60R3A,X_kPh3nt0AJPNPHye2rTlA,4,6/18/11,I was introduced to this place by my coworker and friend. She goes here every single day at lunch and its cute because everyone knows her there! Any,1,3,2
Euro Pizza Cafe,x2atXyt-QwCTzHhglzxj3Q,JKp42Y520azWI_WBzUMxTw,5,4/7/12,This is a nice cafe with a diverse menu. There's indoor or outdoor dining with a view of the famous fountain! I ate here with my friend Connie who als,0,0,1
US Airways,o_YetnCcK_96ueIULO84fA,Vl4k0FiMNCRzEQwOpe4hXw,2,7/20/12,"Well, they have good flights and connections from time to time. Their fleet is very archaic though, probably most of their planes are older than me (a",0,1,0
Wal-Mart Neighborhood Market,c7JHcdWo5pZ3rMIDbsDt_g,IDHrwv_RCildFvmfWTkj5Q,2,10/2/11,I occasionally stop in this store while driving past. I will try to keep my comments on the positive side. NOTE if you don't read anything else: if,0,1,1
Flancer's Cafe,78XeKBmSE0reBjsmqg7HNg,AYGHNy8gPxl2Q-etTT3hZw,3,12/1/12,"This place has decent food, cute atmosphere, but the service is problematic. I was stuck in Mesa for training and had lunch there on Halloween. My pal",5,7,5
Pappadeaux Seafood Kitchen,y6q-inMFFoEci-wRATp1-A,S3bvMOL50vgS_8-TtlGi4w,1,12/2/10,$20 for a double Maker's Mark? Me thinks not T.G.I. McPappadeaux. I was not impressed by anything that was there and will not only steer clear but m,13,6,6
Lone Star Steakhouse,fp73RBYM6NAnNWii9bxZ8w,7Ot-v89x44U_VdIPgD3qKg,4,10/18/11,Great food and a rare bird of a honest manager when it comes to whats in the food. They have very comfy booths. Did nor care for the country music. I,0,0,0
EVO,3D3Avu2d8Gj-HEbqqWhswg,H982l-WK1p49z9jZFNMEfQ,4,12/29/13,Great atmosphere and decor..a welcome change from the chains and anchor restaurants in the area that all feel the same. My wife could not stop raving,0,0,0
Conocido Park,0ESAQ8Ynk1nZPt5LayMwng,3OelvbzNK3KSmMdL0O9nRQ,4,10/8/13,I play this disc golf course weekly. The baskets are frequently moved to keep the course fresh. Trees provide difficulty and also shade! There are Dis,0,1,0
Nate's Barber Shop,KEMsCW33Y1ZQEGTiMKmcrA,Hm_7pViZyrp_Z62lBRopAg,5,12/12/12,Nates barber shop is one of the best shops that I have encountered in my life. If your looking for a great inexpensive ($13) good looking haircut this,0,0,0
S & S Tire and Automotive Service Center,99_nV5h4JHomT7cgh0V6lg,hYKjQHu2fk4nMgCWO50f-w,5,2/25/11,My partner and I needed two new tires and an alignment. We have a Chevy Cobalt and its only two years old. Went to the dealership and they wanted almo,1,0,0
